,player_name,age,fee,transfer_period,season,Squad,player_code
3196,Tiago Ilori,29.0,0.0,Summer,2022/2023,Sporting CP,tiago-ilori93
3210,Jackson Porozo,21.0,3500000.0,Summer,2022/2023,Troyes,jackson-porozo00
3211,Petar Musa,24.0,5500000.0,Summer,2022/2023,Benfica,petar-musa98
3215,Nuno Santos,23.0,0.0,Summer,2022/2023,Benfica,nuno-santos95
3218,Diogo Pinto,23.0,0.0,Summer,2022/2023,Casa Pia,diogo-pinto99
3219,Yan Eteki,24.0,0.0,Summer,2022/2023,Casa Pia,yan-brice-eteki97
3220,João Nunes,26.0,0.0,Summer,2022/2023,Casa Pia,joao-nunes95
3221,Eduardo Fereira,21.0,0.0,Summer,2022/2023,Casa Pia,eduardo-fereira00
3222,Clayton,23.0,0.0,Summer,2022/2023,Casa Pia,clayton99
3223,Rafael Martins,33.0,0.0,Summer,2022/2023,Casa Pia,rafael-martins89
3226,Pedro Mendes,22.0,0.0,Summer,2022/2023,Sporting CP,pedro-mendes90
3241,Anderson,23.0,0.0,Summer,2022/2023,Casa Pia,anderson97
3242,Fernando Varela,34.0,0.0,Summer,2022/2023,Casa Pia,fernando-varela87
3243,Léo Bolgado,23.0,0.0,Summer,2022/2023,Casa Pia,bolgado98
3247,Guilherme,21.0,0.0,Summer,2022/2023,Chaves,guilherme-silva00
3256,Lucas Soares,24.0,0.0,Summer,2022/2023,Casa Pia,lucas-soares98
3263,Duplexe Tchamba,24.0,0.0,Summer,2022/2023,Casa Pia,duplexe-tchamba98
3264,Léo Natel,25.0,0.0,Summer,2022/2023,Casa Pia,leo-natel97
3265,Romário Baró,22.0,0.0,Summer,2022/2023,Casa Pia,romario-baro00
3270,Ignacio de Arruabarrena,25.0,0.0,Summer,2022/2023,Arouca,ignacio-de-arruabarrena97
3280,Jerome Opoku,23.0,0.0,Summer,2022/2023,Arouca,jerome-opoku98
3281,Vitinho,22.0,0.0,Summer,2022/2023,Arouca,vitinho00
3283,Rafael Fernandes,20.0,0.0,Summer,2022/2023,Arouca,rafael-fernandes02
3284,Rafa Mújica,23.0,0.0,Summer,2022/2023,Arouca,rafa-mujica98
