,Player,player_code,Squad,90s,sub_position,Based
2077,Arsen Zakharyan,arsen-zakharyan03,Dynamo Mosc,24.2,Attacking Midfield,Premier Liga
2078,Saša Zdjelar,sasa-zdjelar95,CSKA Moscow,21.8,Defensive Midfield,Premier Liga
2079,Yuri Zheleznov,yuri-zheleznov02,Ural,3.3,Left Midfield,Premier Liga
2080,Ilya Zhigulyov,ilya-zhigulyov96,Nizhny Novgorod,3.8,Central Midfield,Premier Liga
2081,Yuri Zhuravlyov,yuri-zhuravlyov96,Torpedo Moscow,3.0,Centre-Back,Premier Liga
2082,Anton Zinkovskiy,anton-zinkovskiy96,Spartak Moscow,14.0,Left Winger,Premier Liga
2083,Roman Zobnin,roman-zobnin94,Spartak Moscow,28.3,Central Midfield,Premier Liga
2084,Georgi Zotov,georgi-zotov90,Samara,4.1,Right-Back,Premier Liga
2085,Luka Đorđević,luka-dordevic94,Sochi,6.1,Centre-Forward,Premier Liga
2086,Yunis Abdelhamid,yunis-abdelhamid87,Reims,37.0,Centre-Back,Ligue 1
2087,Himad Abdelli,himad-abdelli99,Angers,23.7,Attacking Midfield,Ligue 1
2088,Salis Abdul Samed,salis-abdul-samed00,Lens,32.2,Defensive Midfield,Ligue 1
2089,Laurent Abergel,laurent-abergel93,Lorient,26.0,Defensive Midfield,Ligue 1
2090,Matthis Abline,matthis-abline03,Auxerre,9.0,Centre-Forward,Ligue 1
2091,Zakaria Aboukhlal,zakaria-aboukhlal00,Toulouse,27.5,Right Winger,Ligue 1
2092,Emmanuel Agbadou,emmanuel-agbadou97,Reims,26.5,Centre-Back,Ligue 1
2093,Lucien Agoume,lucien-agoume02,Troyes,12.2,Defensive Midfield,Ligue 1
2094,Ruben Aguilar,ruben-aguilar93,Monaco,13.0,Right-Back,Ligue 1
2095,Jean-Eudes Aholou,jean-eudes-aholou94,Strasbourg,14.4,Defensive Midfield,Ligue 1
2096,Maghnes Akliouche,maghnes-akliouche02,Monaco,4.5,Attacking Midfield,Ligue 1
2097,Jim Allevinah,jim-allevinah95,Clermont Foot,24.9,Right Midfield,Ligue 1
2098,Mickaël Alphonse,mickael-alphonse89,Ajaccio,15.1,Right-Back,Ligue 1
2099,Ayoub Amraoui,ayoub-amraoui04,Nice,3.3,Left-Back,Ligue 1
2100,Benjamin André,benjamin-andre90,Lille,32.4,Defensive Midfield,Ligue 1
2101,Komnen Andrić,komnen-andric95,Clermont Foot,16.1,Centre-Forward,Ligue 1
2102,Houssem Aouar,houssem-aouar98,Lyon,5.8,Central Midfield,Ligue 1
2103,Adil Aouchiche,adil-aouchiche02,Lorient,2.8,Attacking Midfield,Ligue 1
2104,Taïryk Arconte,tairyk-arconte03,Brest,1.4,Right Winger,Ligue 1
2105,Mohamed El Arouch,mohamed-el-arouch04,Lyon,0.0,Central Midfield,Ligue 1
2106,Lorenz Assignon,lorenz-assignon00,Rennes,2.9,Right-Back,Ligue 1
2107,Youcef Atal,youcef-atal96,Nice,8.7,Right-Back,Ligue 1
2108,Valentin Atangana Edoa,valentin-atangana-edoa05,Reims,1.9,Defensive Midfield,Ligue 1
2109,Mathias Autret,mathias-autret91,Auxerre,14.3,Attacking Midfield,Ligue 1
2110,Cédric Avinel,cedric-avinel86,Ajaccio,19.9,Centre-Back,Ligue 1
2111,Eric Bailly,eric-bailly94,Marseille,6.0,Centre-Back,Ligue 1
2112,Dénys Bain,denys-bain93,Auxerre,1.4,Centre-Back,Ligue 1
2113,Thierno Balde,thierno-balde02,Troyes,23.9,Right-Back,Ligue 1
2114,Carlos Baleba,carlos-baleba04,Lille,5.3,Central Midfield,Ligue 1
2115,Leonardo Balerdi,leonardo-balerdi99,Marseille,29.3,Centre-Back,Ligue 1
2116,Folarin Balogun,folarin-balogun01,Reims,33.3,Centre-Forward,Ligue 1
2117,Abdoulaye Bamba,abdoulaye-bamba90,Angers,15.2,Right-Back,Ligue 1
2118,Jonathan Bamba,jonathan-bamba96,Lille,30.9,Left Winger,Ligue 1
2119,Bradley Barcola,bradley-barcola02,Lyon,16.0,Centre-Forward,Ligue 1
2120,Melvin Bard,melvin-bard00,Nice,27.3,Left-Back,Ligue 1
2121,Ross Barkley,ross-barkley93,Nice,10.7,Central Midfield,Ligue 1
2122,Mickaël Barreto,mickael-barreto91,Ajaccio,14.7,Attacking Midfield,Ligue 1
2123,Cyrille Bayala,cyrille-bayala96,Ajaccio,22.3,Right Winger,Ligue 1
2124,Alexis Beka Beka,alexis-beka-beka01,Nice,6.1,Defensive Midfield,Ligue 1
2125,Jérémie Bela,jeremie-bela93,Clermont Foot,8.3,Left Winger,Ligue 1
2126,Reda Belahyane,reda-belahyane04,Nice,2.0,Defensive Midfield,Ligue 1
2127,Youcef Belaïli,youcef-belaili92,Ajaccio,12.8,Left Winger,Ligue 1
2128,Haris Belkebla,haris-belkebla94,Brest,29.5,Central Midfield,Ligue 1
2129,Jean-Ricner Bellegarde,jean-ricner-bellegarde98,Strasbourg,26.9,Central Midfield,Ligue 1
2130,Jeanuël Belocian,jeanuel-belocian05,Rennes,5.6,Centre-Back,Ligue 1
2131,Eliesse Ben Seghir,eliesse-ben-seghir05,Monaco,11.7,Attacking Midfield,Ligue 1
2132,Wissam Ben Yedder,wissam-ben-yedder90,Monaco,23.5,Centre-Forward,Ligue 1
2133,Nabil Bentaleb,nabil-bentaleb94,Angers,27.7,Central Midfield,Ligue 1
2134,Mitchell van Bergen,mitchell-van-bergen99,Reims,10.1,Left Winger,Ligue 1
2135,Juan Bernat,juan-bernat93,Paris S-G,18.3,Left-Back,Ligue 1
2136,Veljko Birmančević,veljko-birmancevic98,Toulouse,4.9,Left Winger,Ligue 1
2137,Ludovic Blas,ludovic-blas97,Nantes,31.3,Attacking Midfield,Ligue 1
2138,Miha Blažič,miha-blazic93,Angers,22.0,Centre-Back,Ligue 1
2139,Myron Boadu,myron-boadu01,Monaco,3.3,Centre-Forward,Ligue 1
2140,Jérôme Boateng,jerome-boateng88,Lyon,4.8,Centre-Back,Ligue 1
2141,Neto Borges,neto-borges96,Clermont Foot,31.5,Left-Back,Ligue 1
2142,Kenji-Van Boto,kenji-van-boto96,Auxerre,2.0,Left-Back,Ligue 1
2143,Kouamé Botué,kouame-botue02,Ajaccio,2.5,Left Winger,Ligue 1
2144,Badredine Bouanani,badredine-bouanani04,Nice,9.6,Right Winger,Ligue 1
2145,Hicham Boudaoui,hicham-boudaoui99,Nice,20.8,Central Midfield,Ligue 1
2146,Franci Bouebari,franci-bouebari03,Strasbourg,0.8,Centre-Back,Ligue 1
2147,Ismaëlben Boura,ismaelben-boura00,Lens,1.0,Left-Back,Ligue 1
2148,Benjamin Bourigeaud,benjamin-bourigeaud94,Rennes,34.1,Right Midfield,Ligue 1
2149,Bilal Brahimi,bilal-brahimi00,Nice,8.9,Left Winger,Ligue 1
2150,Lilian Brassier,lilian-brassier99,Brest,34.4,Centre-Back,Ligue 1
2151,Andreas Bruus,andreas-bruus99,Troyes,18.1,Right-Back,Ligue 1
2152,Joe Bryan,joe-bryan93,Nice,2.0,Left-Back,Ligue 1
2153,Adam Buksa,adam-buksa96,Lens,1.1,Centre-Forward,Ligue 1
2154,Maxime Busi,maxime-busi99,Reims,11.6,Right-Back,Ligue 1
2155,Rémy Cabella,remy-cabella90,Lille,28.1,Attacking Midfield,Ligue 1
2156,Jimmy Cabot,jimmy-cabot94,Lens,5.7,Right Midfield,Ligue 1
2157,Jens Cajuste,jens-cajuste99,Reims,17.0,Defensive Midfield,Ligue 1
2158,Mahdi Camara,mahdi-camara98,Brest,20.2,Central Midfield,Ligue 1
2159,Mohamed Camara,mohamed-camara00,Monaco,24.4,Defensive Midfield,Ligue 1
2160,Ousmane Camara,ousmane-camara01,Auxerre,0.3,Centre-Forward,Ligue 1
2161,Ousmane Camara,ousmane-camara03,Angers,5.8,Centre-Back,Ligue 1
2162,Pierrick Capelle,pierrick-capelle87,Angers,15.9,Left Midfield,Ligue 1
2163,Maxence Caqueret,maxence-caqueret00,Lyon,30.7,Central Midfield,Ligue 1
2164,Igor Carioca,igor-carioca96,Lorient,5.1,Right-Back,Ligue 1
2165,Jean-Charles Castelletto,jean-charles-castelletto95,Nantes,28.5,Centre-Back,Ligue 1
2166,Yoann Cathline,yoann-cathline02,Lorient,12.1,Left Winger,Ligue 1
2167,Maximiliano Caufriez,maximiliano-caufriez97,Clermont Foot,24.7,Centre-Back,Ligue 1
2168,Fabien Centonze,fabien-centonze96,Nantes,18.8,Right-Back,Ligue 1
2169,Florian Chabrolle,florian-chabrolle98,Ajaccio,3.7,Attacking Midfield,Ligue 1
2170,El Chadaille Bitshiabu,el-chadaille-bitshiabu05,Paris S-G,6.5,Centre-Back,Ligue 1
2171,Fares Chaïbi,fares-chaibi02,Toulouse,26.0,Left Winger,Ligue 1
2172,Muhammed Cham,muhammed-cham00,Clermont Foot,21.9,Attacking Midfield,Ligue 1
2173,Brendan Chardonnet,brendan-chardonnet94,Brest,27.7,Centre-Back,Ligue 1
2174,Xavier Chavalerin,xavier-chavalerin91,Troyes,27.0,Central Midfield,Ligue 1
2175,Rayan Cherki,rayan-cherki03,Lyon,20.8,Attacking Midfield,Ligue 1
2176,Ilyes Cheti,ilyes-cheti95,Angers,2.3,Left-Back,Ligue 1
2177,Pedro Chirivella,pedro-chirivella97,Nantes,22.5,Defensive Midfield,Ligue 1
2178,Joris Chotard,joris-chotard01,Montpellier,27.3,Defensive Midfield,Ligue 1
2179,Yanis Cimignani,yanis-cimignani02,Ajaccio,3.1,Left Midfield,Ligue 1
2180,Souleymane Cissé,souleymane-cisse02,Clermont Foot,0.4,Centre-Back,Ligue 1
2181,Alexis Claude-Maurice,alexis-claude-maurice98,Lens,6.7,Attacking Midfield,Ligue 1
2182,Jonathan Clauss,jonathan-clauss92,Marseille,28.8,Right-Back,Ligue 1
2183,Marcus Coco,marcus-coco96,Nantes,7.1,Right Winger,Ligue 1
2184,Abdu Conté,abdu-conte98,Troyes,14.6,Left-Back,Ligue 1
2185,Sébastien Corchia,sebastien-corchia90,Nantes,8.7,Right-Back,Ligue 1
2186,Logan Costa,logan-costa01,Toulouse,4.6,Centre-Back,Ligue 1
2187,Nuno da Costa,nuno-da-costa91,Auxerre,22.3,Centre-Forward,Ligue 1
2188,Mathieu Coutadeur,mathieu-coutadeur86,Ajaccio,21.6,Central Midfield,Ligue 1
2189,Colin Dagba,colin-dagba98,Strasbourg,10.6,Right-Back,Ligue 1
2190,Thijs Dallinga,thijs-dallinga00,Toulouse,26.1,Centre-Forward,Ligue 1
2191,Kévin Danois,kevin-danois04,Auxerre,0.0,Attacking Midfield,Ligue 1
2192,Kevin Danso,kevin-danso98,Lens,35.9,Centre-Back,Ligue 1
2193,Dante,dante83,Nice,36.7,Centre-Back,Ligue 1
2194,Achraf Dari,achraf-dari99,Brest,14.6,Centre-Back,Ligue 1
2195,Jonathan David,jonathan-david00,Lille,35.2,Centre-Forward,Ligue 1
2196,Thibault De Smet,thibault-de-smet98,Reims,19.5,Left-Back,Ligue 1
2197,Brecht Dejaegere,brecht-dejaegere91,Toulouse,20.1,Central Midfield,Ligue 1
2198,Romain Del Castillo,romain-del-castillo96,Brest,15.8,Right Midfield,Ligue 1
2199,Thomas Delaine,thomas-delaine92,Strasbourg,11.9,Left-Back,Ligue 1
2200,Andy Delort,andy-delort91,Nantes,5.2,Centre-Forward,Ligue 1
2201,Karamoko Dembele,karamoko-dembele03,Brest,2.0,Right Winger,Ligue 1
2202,Moussa Dembélé,moussa-dembele96,Lyon,9.7,Centre-Forward,Ligue 1
2203,Siriki Dembélé,siriki-dembele96,Auxerre,4.1,Left Winger,Ligue 1
2204,Branco van den Boomen,branco-van-den-boomen95,Toulouse,32.1,Central Midfield,Ligue 1
2205,Mikkel Desler,mikkel-desler95,Toulouse,25.1,Right-Back,Ligue 1
2206,Bafodé Diakité,bafode-diakite01,Lille,29.5,Right-Back,Ligue 1
2207,Baila Diallo,baila-diallo01,Clermont Foot,1.0,Left-Back,Ligue 1
2208,Habib Diallo,habib-diallo95,Strasbourg,32.0,Centre-Forward,Ligue 1
2209,Ismael Diallo,ismael-diallo97,Ajaccio,24.2,Left-Back,Ligue 1
2210,Habib Diarra,habib-diarra04,Strasbourg,18.1,Defensive Midfield,Ligue 1
2211,Moussa Diarra,moussa-diarra00,Toulouse,13.6,Left-Back,Ligue 1
2212,Stéphane Diarra,stephane-diarra98,Lorient,11.8,Right Winger,Ligue 1
2213,Krépin Diatta,krepin-diatta99,Monaco,23.0,Right Winger,Ligue 1
2214,Bamba Dieng,bamba-dieng00,Lorient,8.3,Centre-Forward,Ligue 1
2215,Sinaly Diomande,sinaly-diomande01,Lyon,21.7,Centre-Back,Ligue 1
2216,Lois Diony,lois-diony92,Angers,5.6,Centre-Forward,Ligue 1
2217,Sofiane Diop,sofiane-diop00,Nice,13.6,Left Winger,Ligue 1
2218,Axel Disasi,axel-disasi98,Monaco,37.0,Centre-Back,Ligue 1
2219,Tiago Djaló,tiago-djalo00,Lille,22.4,Centre-Back,Ligue 1
2220,Alexander Djiku,alexander-djiku94,Strasbourg,29.7,Centre-Back,Ligue 1
2221,Moussa Djitte,moussa-djitte99,Ajaccio,1.5,Centre-Forward,Ligue 1
2222,Jeremy Doku,jeremy-doku02,Rennes,14.3,Right Winger,Ligue 1
2223,Lohann Doucet,lohann-doucet02,Nantes,1.0,Defensive Midfield,Ligue 1
2224,Siriné Doucouré,sirine-doucoure02,Lorient,1.5,Centre-Forward,Ligue 1
2225,Désiré Doué,desire-doue05,Rennes,12.4,Attacking Midfield,Ligue 1
2226,Guela Doué,guela-doue02,Rennes,0.1,Right-Back,Ligue 1
2227,Ismaël Doukouré,ismael-doukoure03,Strasbourg,25.5,Centre-Back,Ligue 1
2228,Kamory Doumbia,kamory-doumbia03,Reims,12.8,Attacking Midfield,Ligue 1
2229,Souleyman Doumbia,souleyman-doumbia96,Angers,19.9,Left-Back,Ligue 1
2230,Rémy Dugimont,remy-dugimont86,Auxerre,1.3,Left Winger,Ligue 1
2231,Jean-Kevin Duverne,jean-kevin-duverne97,Brest,27.9,Left-Back,Ligue 1
2232,Hugo Ekitike,hugo-ekitike02,Paris S-G,12.8,Centre-Forward,Ligue 1
2233,Alberth Elis,alberth-elis96,Brest,2.9,Right Winger,Ligue 1
2234,Breel Embolo,breel-embolo97,Monaco,20.7,Centre-Forward,Ligue 1
2235,Maxime Estève,maxime-esteve02,Montpellier,18.3,Centre-Back,Ligue 1
2236,Noah Fadiga,noah-fadiga99,Brest,14.5,Right-Back,Ligue 1
2237,Romain Faivre,romain-faivre98,Lorient,13.8,Right Midfield,Ligue 1
2238,Khalil Fayad,khalil-fayad04,Montpellier,8.0,Central Midfield,Ligue 1
2239,Jordan Ferri,jordan-ferri92,Montpellier,30.4,Central Midfield,Ligue 1
2240,Alexis Flips,alexis-flips00,Reims,22.0,Right Winger,Ligue 1
2241,Seko Fofana,seko-fofana95,Lens,34.1,Central Midfield,Ligue 1
2242,Youssouf Fofana,youssouf-fofana99,Monaco,34.3,Central Midfield,Ligue 1
2243,Thomas Foket,thomas-foket94,Reims,22.0,Right-Back,Ligue 1
2244,José Fonte,jose-fonte83,Lille,28.8,Centre-Back,Ligue 1
2245,Steven Fortes,steven-fortes92,Lens,0.1,Centre-Back,Ligue 1
2246,Przemysław Frankowski,przemyslaw-frankowski95,Lens,31.5,Right Midfield,Ligue 1
2247,Angelo Fulgini,angelo-fulgini96,Lens,9.5,Attacking Midfield,Ligue 1
2248,Kévin Gameiro,kevin-gameiro87,Strasbourg,23.3,Centre-Forward,Ligue 1
2249,Ignatius Ganago,ignatius-ganago99,Nantes,16.9,Centre-Forward,Ligue 1
2250,Johan Gastien,johan-gastien88,Clermont Foot,28.9,Defensive Midfield,Ligue 1
2251,Denis Genreau,denis-genreau99,Toulouse,7.3,Attacking Midfield,Ligue 1
2252,Valère Germain,valere-germain90,Montpellier,7.6,Centre-Forward,Ligue 1
2253,Ismaël Gharbi,ismael-gharbi04,Paris S-G,0.6,Attacking Midfield,Ligue 1
2254,Faouzi Ghoulam,faouzi-ghoulam91,Angers,5.3,Left-Back,Ligue 1
2255,Samuel Gigot,samuel-gigot93,Marseille,20.9,Centre-Back,Ligue 1
2256,Andrei Girotto,andrei-girotto92,Nantes,35.0,Centre-Back,Ligue 1
2257,Aleksandr Golovin,aleksandr-golovin96,Monaco,27.4,Attacking Midfield,Ligue 1
2258,André Gomes,andre-gomes93,Lille,18.1,Central Midfield,Ligue 1
2259,Angel Gomes,angel-gomes00,Lille,31.3,Attacking Midfield,Ligue 1
2260,Maxime Gonalons,maxime-gonalons89,Clermont Foot,16.1,Defensive Midfield,Ligue 1
2261,Oumar Gonzalez,oumar-gonzalez98,Ajaccio,28.6,Centre-Back,Ligue 1
2262,Amine Gouiri,amine-gouiri00,Rennes,28.0,Centre-Forward,Ligue 1
2263,Jonathan Gradit,jonathan-gradit92,Lens,31.4,Centre-Back,Ligue 1
2264,Gabriel Gudmundsson,gabriel-gudmundsson99,Lille,9.3,Left-Back,Ligue 1
2265,Mattéo Guendouzi,matteo-guendouzi99,Marseille,23.4,Central Midfield,Ligue 1
2266,Evann Guessand,evann-guessand01,Nantes,14.0,Centre-Forward,Ligue 1
2267,Frederic Guilbert,frederic-guilbert94,Strasbourg,16.2,Right-Back,Ligue 1
2268,Malo Gusto,malo-gusto03,Lyon,17.7,Right-Back,Ligue 1
2269,Jaouen Hadjam,jaouen-hadjam03,Nantes,8.9,Left-Back,Ligue 1
2270,Massadio Haïdara,massadio-haidara92,Lens,18.6,Left-Back,Ligue 1
2271,Achraf Hakimi,achraf-hakimi98,Paris S-G,22.8,Right-Back,Ligue 1
2272,Romain Hamouma,romain-hamouma87,Ajaccio,12.0,Centre-Forward,Ligue 1
2273,Saïd Hamulic,said-hamulic00,Toulouse,1.2,Centre-Forward,Ligue 1
2274,Amine Harit,amine-harit97,Marseille,5.7,Attacking Midfield,Ligue 1
2275,Rhys Healey,rhys-healey94,Toulouse,0.7,Centre-Forward,Ligue 1
2276,Gauthier Hein,gauthier-hein96,Auxerre,20.8,Right Winger,Ligue 1
2277,Henrique,henrique94,Lyon,4.0,Left-Back,Ligue 1
2278,Christophe Hérelle,christophe-herelle92,Brest,11.8,Centre-Back,Ligue 1
2279,Noah Holm,noah-holm01,Reims,2.2,Centre-Forward,Ligue 1
2280,Franck Honorat,franck-honorat96,Brest,28.2,Right Winger,Ligue 1
2281,Cédric Hountondji,cedric-hountondji94,Angers,34.4,Centre-Back,Ligue 1
2282,Ilyes Housni,ilyes-housni05,Paris S-G,0.1,Centre-Forward,Ligue 1
2283,Adrien Hunou,adrien-hunou94,Angers,24.8,Centre-Forward,Ligue 1
2284,Mounaim El Idrissy,mounaim-el-idrissy99,Ajaccio,27.7,Centre-Forward,Ligue 1
2285,Bonke Innocent,bonke-innocent96,Lorient,13.1,Defensive Midfield,Ligue 1
2286,Ismaily,ismaily90,Lille,19.8,Left-Back,Ligue 1
2287,Junya Ito,junya-ito93,Reims,32.4,Right Winger,Ligue 1
2288,Ismail Jakobs,ismail-jakobs99,Monaco,12.4,Left-Back,Ligue 1
2289,Julian Jeanvier,julian-jeanvier92,Auxerre,19.6,Centre-Back,Ligue 1
2290,Jeffinho,jeffinho99,Lyon,5.0,Left Winger,Ligue 1
2291,Jubal,jubal93,Auxerre,35.7,Centre-Back,Ligue 1
2292,Christopher Jullien,christopher-jullien93,Montpellier,29.9,Centre-Back,Ligue 1
2293,Issa Kaboré,issa-kabore01,Marseille,11.4,Right-Back,Ligue 1
2294,Arnaud Kalimuendo,arnaud-kalimuendo02,Rennes,20.5,Centre-Forward,Ligue 1
2295,Gedeon Kalulu,gedeon-kalulu97,Lorient,27.1,Right-Back,Ligue 1
2296,Waren Kamanzi,waren-kamanzi00,Toulouse,7.4,Right-Back,Ligue 1
2297,Nordine Kandil,nordine-kandil01,Strasbourg,1.1,Attacking Midfield,Ligue 1
2298,Ayman Kari,ayman-kari04,Lorient,1.1,Central Midfield,Ligue 1
2299,Kévin Keben Biakolo,kevin-keben-biakolo04,Toulouse,4.0,Centre-Back,Ligue 1
2300,Check Keita,check-keita03,Reims,7.6,Centre-Back,Ligue 1
2301,Saîf-Eddine Khaoui,saif-eddine-khaoui95,Clermont Foot,22.5,Attacking Midfield,Ligue 1
2302,Wahbi Khazri,wahbi-khazri91,Montpellier,18.2,Centre-Forward,Ligue 1
2303,Presnel Kimpembe,presnel-kimpembe95,Paris S-G,8.1,Centre-Back,Ligue 1
2304,Samuel Koeberlé,samuel-koeberle04,Reims,0.0,Attacking Midfield,Ligue 1
2305,Sead Kolašinac,sead-kolasinac93,Marseille,24.6,Left-Back,Ligue 1
2306,Cheick Konaté,cheick-konate04,Clermont Foot,6.4,Centre-Back,Ligue 1
2307,Ibrahima Koné,ibrahima-kone99,Lorient,17.5,Centre-Forward,Ligue 1
2308,Youssouf Koné,youssouf-kone95,Ajaccio,10.2,Left-Back,Ligue 1
2309,Rominigue Kouamé,rominigue-kouame96,Troyes,29.6,Central Midfield,Ligue 1
2310,Boubakar Kouyaté,boubakar-kouyate97,Montpellier,14.0,Centre-Back,Ligue 1
2311,Sael Kumbedi,sael-kumbedi05,Lyon,14.7,Right-Back,Ligue 1
2312,Grejohn Kyei,grejohn-kyei95,Clermont Foot,24.8,Centre-Forward,Ligue 1
2313,Rémy Labeau Lascary,remy-labeau-lascary03,Lens,1.4,Centre-Forward,Ligue 1
2314,Gaëtan Laborde,gaetan-laborde94,Nice,27.8,Centre-Forward,Ligue 1
2315,Alexandre Lacazette,alexandre-lacazette91,Lyon,32.5,Centre-Forward,Ligue 1
2316,Kenny Lala,kenny-lala91,Brest,15.7,Right-Back,Ligue 1
2317,Mohamed Lamine Bayo,mohamed-lamine-bayo98,Lille,7.2,Centre-Forward,Ligue 1
2318,Julien Laporte,julien-laporte93,Lorient,18.4,Centre-Back,Ligue 1
2319,Yasser Larouci,yasser-larouci01,Troyes,20.0,Left-Back,Ligue 1
2320,Théo Le Bris,theo-le-bris02,Lorient,16.1,Attacking Midfield,Ligue 1
2321,Julien Le Cardinal,julien-le-cardinal97,Lens,1.8,Right-Back,Ligue 1
2322,Jérémy Le Douaron,jeremy-le-douaron98,Brest,23.0,Centre-Forward,Ligue 1
2323,Enzo Le Fée,enzo-le-fee00,Lorient,33.6,Attacking Midfield,Ligue 1
2324,Vincent Le Goff,vincent-le-goff89,Lorient,37.0,Left-Back,Ligue 1
2325,Maxime Le Marchand,maxime-le-marchand89,Strasbourg,22.4,Centre-Back,Ligue 1
2326,Pierre Lees-Melou,pierre-lees-melou93,Brest,30.7,Defensive Midfield,Ligue 1
2327,Félix Lemaréchal,felix-lemarechal03,Brest,3.2,Central Midfield,Ligue 1
2328,Johann Lepenant,johann-lepenant02,Lyon,21.5,Defensive Midfield,Ligue 1
2329,Léo Leroy,leo-leroy00,Montpellier,13.2,Central Midfield,Ligue 1
2330,Ruan Levine,ruan-levine99,Ajaccio,0.3,Right Winger,Ligue 1
2331,Dimitri Liénard,dimitri-lienard88,Strasbourg,17.1,Left Midfield,Ligue 1
2332,Bradley Locko,bradley-locko02,Brest,3.0,Left-Back,Ligue 1
2333,Rony Lopes,rony-lopes95,Troyes,26.1,Right Winger,Ligue 1
2334,Dion Lopy,dion-lopy02,Reims,15.3,Defensive Midfield,Ligue 1
2335,Jordan Lotomba,jordan-lotomba98,Nice,27.3,Right-Back,Ligue 1
2336,Dejan Lovren,dejan-lovren89,Lyon,16.2,Centre-Back,Ligue 1
2337,Jean Lucas,jean-lucas98,Monaco,3.2,Central Midfield,Ligue 1
2338,Castello Lukeba,castello-lukeba02,Lyon,33.2,Centre-Back,Ligue 1
2339,Youssouf M'Changama,youssouf-mchangama90,Auxerre,12.0,Attacking Midfield,Ligue 1
2340,Deiver Machado,deiver-machado93,Lens,24.3,Left-Back,Ligue 1
2341,Soungoutou Magassa,soungoutou-magassa03,Monaco,0.9,Defensive Midfield,Ligue 1
2342,Hugo Magnetti,hugo-magnetti98,Brest,18.8,Central Midfield,Ligue 1
2343,Yohann Magnin,yohann-magnin97,Clermont Foot,26.7,Defensive Midfield,Ligue 1
2344,Lovro Majer,lovro-majer98,Rennes,18.5,Attacking Midfield,Ligue 1
2345,Jean-Victor Makengo,jean-victor-makengo98,Lorient,11.8,Central Midfield,Ligue 1
2346,Béni Makouana,beni-makouana02,Montpellier,2.2,Left Winger,Ligue 1
2347,Ruslan Malinovskyi,ruslan-malinovskyi93,Marseille,13.6,Attacking Midfield,Ligue 1
2348,Thomas Mangani,thomas-mangani87,Ajaccio,14.8,Central Midfield,Ligue 1
2349,Myziane Maolida,myziane-maolida99,Reims,2.6,Left Winger,Ligue 1
2350,Faitout Maouassa,faitout-maouassa98,Montpellier,21.4,Left-Back,Ligue 1
2351,Vincent Marchetti,vincent-marchetti97,Ajaccio,27.2,Central Midfield,Ligue 1
2352,Guillermo Maripán,guillermo-maripan94,Monaco,24.0,Centre-Back,Ligue 1
2353,Marquinhos,marquinhos94,Paris S-G,30.2,Centre-Back,Ligue 1
2354,Jonas Martin,jonas-martin90,Lille,3.1,Defensive Midfield,Ligue 1
2355,Gelson Martins,gelson-martins95,Monaco,3.8,Right Winger,Ligue 1
2356,Han-Noah Massengo,han-noah-massengo01,Auxerre,12.4,Central Midfield,Ligue 1
2357,Yanis Massolin,yanis-massolin02,Clermont Foot,0.7,Central Midfield,Ligue 1
2358,Eliot Matazo,eliot-matazo02,Monaco,13.1,Central Midfield,Ligue 1
2359,Chrislain Matsima,chrislain-matsima02,Monaco,5.0,Centre-Back,Ligue 1
2360,Jean Mattéo Bahoya,jean-matteo-bahoya05,Angers,3.0,Attacking Midfield,Ligue 1
2361,Azor Matusiwa,azor-matusiwa98,Reims,27.6,Defensive Midfield,Ligue 1
2362,Aïman Maurer,aiman-maurer04,Clermont Foot,5.6,Attacking Midfield,Ligue 1
2363,Stephy Mavididi,stephy-mavididi98,Montpellier,14.3,Left Winger,Ligue 1
2364,Fernand Mayembo,fernand-mayembo96,Ajaccio,7.9,Centre-Back,Ligue 1
2365,Kylian Mbappé,kylian-mbappe98,Paris S-G,31.3,Centre-Forward,Ligue 1
2366,Chancel Mbemba,chancel-mbemba94,Marseille,31.7,Centre-Back,Ligue 1
2367,Jason Mbock,jason-mbock99,Angers,0.3,Left Winger,Ligue 1
2368,Facundo Medina,facundo-medina99,Lens,30.9,Centre-Back,Ligue 1
2369,Bamo Meïté,bamo-meite01,Lorient,16.7,Centre-Back,Ligue 1
2370,Farid El Melali,farid-el-melali97,Angers,9.0,Left Winger,Ligue 1
2371,Birger Meling,birger-meling94,Rennes,13.4,Left-Back,Ligue 1
2372,Nuno Mendes,nuno-mendes02,Paris S-G,17.2,Left-Back,Ligue 1
2373,Pedro Mendes,pedro-mendes90,Montpellier,0.1,Centre-Back,Ligue 1
2374,Thiago Mendes,thiago-mendes92,Lyon,22.9,Defensive Midfield,Ligue 1
2375,Antoine Mendy,antoine-mendy04,Nice,5.8,Right-Back,Ligue 1
2376,Batista Mendy,batista-mendy00,Angers,31.8,Defensive Midfield,Ligue 1
2377,Gideon Mensah,gideon-mensah98,Auxerre,25.1,Left-Back,Ligue 1
2378,Quentin Merlin,quentin-merlin02,Nantes,19.9,Left-Back,Ligue 1
2379,Lionel Messi,lionel-messi87,Paris S-G,31.5,Right Winger,Ligue 1
2380,Takumi Minamino,takumi-minamino95,Monaco,8.0,Left Winger,Ligue 1
2381,Terem Moffi,terem-moffi99,Nice,14.8,Centre-Forward,Ligue 1
2382,Mostafa Mohamed,mostafa-mohamed97,Nantes,21.5,Centre-Forward,Ligue 1
2383,Florent Mollet,florent-mollet91,Nantes,12.1,Attacking Midfield,Ligue 1
