,Squad,sq_Poss,sq_Gls,sq_Ast,sq_Gls/90,sq_Ast/90,opp_sq_Poss,opp_sq_Gls,opp_sq_Ast,opp_sq_Gls/90,opp_sq_Ast/90
139,R.F.C. Seraing,47.5,29,19,0.85,0.56,52.0,64.0,40.0,1.88,1.18
140,Sint-Truiden,43.4,40,22,1.18,0.65,56.9,40.0,27.0,1.18,0.79
141,Standard Liège,48.6,31,3,0.91,0.09,51.5,50.0,9.0,1.47,0.26
142,Union SG,48.3,71,48,2.09,1.41,51.9,27.0,14.0,0.79,0.41
143,Zulte Waregem,45.4,42,27,1.24,0.79,54.6,66.0,42.0,1.94,1.24
144,Ajax,66.0,94,71,2.76,2.09,33.4,19.0,15.0,0.56,0.44
145,AZ Alkmaar,55.8,62,49,1.82,1.44,43.9,44.0,33.0,1.29,0.97
146,Cambuur,48.3,51,38,1.5,1.12,51.5,69.0,56.0,2.03,1.65
147,Feyenoord,58.5,75,57,2.21,1.68,41.2,33.0,23.0,0.97,0.68
148,Fortuna Sittard,43.4,35,24,1.03,0.71,56.8,66.0,54.0,1.94,1.59
149,Go Ahead Eag,47.2,36,27,1.06,0.79,52.9,50.0,34.0,1.47,1.0
150,Groningen,48.9,39,27,1.15,0.79,50.9,53.0,38.0,1.56,1.12
151,Heerenveen,47.6,34,26,1.0,0.76,52.5,49.0,35.0,1.44,1.03
152,Heracles Almelo,46.8,32,18,0.94,0.53,53.2,47.0,37.0,1.38,1.09
153,NEC Nijmegen,47.3,38,19,1.12,0.56,52.6,51.0,35.0,1.5,1.03
154,PSV Eindhoven,57.7,84,66,2.47,1.94,42.1,40.0,29.0,1.18,0.85
155,RKC Waalwijk,43.5,39,31,1.15,0.91,56.7,51.0,34.0,1.5,1.0
156,Sparta R'dam,42.0,30,22,0.88,0.65,58.3,46.0,33.0,1.35,0.97
157,Twente,51.2,53,33,1.56,0.97,48.7,35.0,25.0,1.03,0.74
158,Utrecht,48.4,49,34,1.44,1.0,52.0,43.0,30.0,1.26,0.88
159,Vitesse,52.1,42,27,1.24,0.79,47.8,49.0,32.0,1.44,0.94
160,Willem II,45.1,30,23,0.88,0.68,55.0,55.0,39.0,1.62,1.15
