Player_URL,Player,Player1,Player_URL2,Player3,Player4,Player5,Apps,Mins,Goals,Assists,Yel,SpG,PS,AerialsWon,MotM,Rating
https://www.whoscored.com/Players/322494/Show/Hamza-Mendyl,	167,Hamza Mendyl,https://www.whoscored.com/Teams/1406/Show/Belgium-OH-Leuven,"OH Leuven, ",26,",  D(L),M(L)  ",25(3),2069	,-	,4	,8	,0.2	,79.1	,0.4	,-	,6.58
https://www.whoscored.com/Players/403470/Show/St%C3%A9lios-Andreou,	168,Stélios Andreou,https://www.whoscored.com/Teams/260/Show/Belgium-Sporting-Charleroi,"Sporting Charleroi, ",21,",  D(CR)  ",19(3),1714	,-	,-	,3	,0.2	,85.8	,1	,-	,6.57
https://www.whoscored.com/Players/113982/Show/Dino-Hotic,	169,Dino Hotic,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",28,",  AM(CR)  ",21(13),1940	,5	,1	,2	,1.3	,64.2	,0.4	,1	,6.57
https://www.whoscored.com/Players/425958/Show/Alec-Van-Hoorenbeeck,	170,Alec Van Hoorenbeeck,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",25,",  D(CL)  ",22(4),1844	,-	,1	,4	,0.1	,78.2	,1.7	,-	,6.57
https://www.whoscored.com/Players/395417/Show/Jesper-Daland,	171,Jesper Daland,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",24,",  D(C)  ",30(2),2710	,1	,-	,8	,0.6	,64.2	,3.2	,-	,6.57
https://www.whoscored.com/Players/327685/Show/Mbwana-Samatta,	172,Mbwana Samatta,https://www.whoscored.com/Teams/140/Show/Belgium-Genk,"Genk, ",31,",  FW  ",10(17),1193	,6	,1	,2	,1.1	,70.9	,1.2	,1	,6.57
https://www.whoscored.com/Players/410633/Show/Zeno-Debast,	173,Zeno Debast,https://www.whoscored.com/Teams/240/Show/Belgium-Anderlecht,"Anderlecht, ",20,",  D(C)  ",33,2859	,-	,-	,4	,0.4	,82.9	,0.8	,-	,6.57
https://www.whoscored.com/Players/432452/Show/Christiaan-Ravych,	174,Christiaan Ravych,https://www.whoscored.com/Teams/885/Show/Belgium-Cercle-Bruges,"Cercle Bruges, ",21,",  D(C)  ",18(8),1735	,1	,-	,4	,0.3	,64.4	,1.5	,-	,6.56
https://www.whoscored.com/Players/377275/Show/Jonas-Bager,	175,Jonas Bager,https://www.whoscored.com/Teams/260/Show/Belgium-Sporting-Charleroi,"Sporting Charleroi, ",27,",  D(C)  ",21(2),1724	,1	,-	,4	,-	,78.3	,1.9	,-	,6.56
https://www.whoscored.com/Players/280528/Show/Rubin-Seigers,	176,Rubin Seigers,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",26,",  D(C)  ",17(6),1657	,-	,-	,1	,0.2	,91	,1	,-	,6.55
https://www.whoscored.com/Players/34302/Show/Nacer-Chadli,	177,Nacer Chadli,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",34,",  M(CLR),FW  ",20(2),1319	,5	,1	,-	,1.1	,76.2	,1	,-	,6.55
https://www.whoscored.com/Players/399954/Show/Jordi-Vanlerberghe,	178,Jordi Vanlerberghe,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",27,",  D(C),DMC  ",17(3),1503	,2	,1	,3	,0.9	,77.5	,1.9	,1	,6.55
https://www.whoscored.com/Players/399968/Show/Nick-B%C3%A4tzner,	179,Nick Bätzner,https://www.whoscored.com/Teams/2165/Show/Belgium-Oostende,"Oostende, ",24,",  AM(CLR)  ",23(7),1902	,6	,4	,4	,1.3	,72	,0.4	,2	,6.55
https://www.whoscored.com/Players/361252/Show/David-Bates,	180,David Bates,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",27,",  D(C)  ",21(3),1901	,2	,-	,4	,0.6	,82.8	,2.3	,1	,6.55
https://www.whoscored.com/Players/26222/Show/Shinji-Okazaki,	181,Shinji Okazaki,https://www.whoscored.com/Teams/239/Show/Belgium-St-Truiden,"St.Truiden, ",38,",  AM(CLR),FW  ",30,2555	,1	,2	,1	,0.8	,73.4	,1.5	,-	,6.54
https://www.whoscored.com/Players/120822/Show/Pietro-Perdichizzi,	182,Pietro Perdichizzi,https://www.whoscored.com/Teams/238/Show/Belgium-Westerlo,"Westerlo, ",31,",  D(C)  ",15(4),1294	,-	,-	,4	,0.3	,85.5	,2.6	,-	,6.54
https://www.whoscored.com/Players/105341/Show/Guillaume-Hubert,	183,Guillaume Hubert,https://www.whoscored.com/Teams/2165/Show/Belgium-Oostende,"Oostende, ",30,",  GK  ",22,1980	,-	,1	,-	,-	,54.7	,0.5	,-	,6.54
https://www.whoscored.com/Players/400370/Show/Eric-Junior-Bocat,	184,Eric-Junior Bocat,https://www.whoscored.com/Teams/239/Show/Belgium-St-Truiden,"St.Truiden, ",24,",  D(L),M(L)  ",18(4),1427	,-	,1	,2	,0.9	,69.6	,0.5	,-	,6.54
https://www.whoscored.com/Players/290832/Show/Alessio-da-Cruz,	185,Alessio da Cruz,https://www.whoscored.com/Teams/237/Show/Belgium-KV-Mechelen,"KV Mechelen, ",27,",  AM(CLR),FW  ",22(5),1737	,3	,2	,3	,0.8	,78.7	,1	,-	,6.53
https://www.whoscored.com/Players/319466/Show/Abdoulaye-Sissako,	186,Abdoulaye Sissako,https://www.whoscored.com/Teams/2164/Show/Belgium-Zulte-Waregem,"Zulte Waregem, ",25,",  DMC  ",28(3),2366	,1	,1	,5	,0.5	,78.6	,1	,-	,6.52
